,image_1_0,image_1_1,image_1_2,image_2_0,image_2_1,image_2_2,image_2_3,image_2_4,image_2_5,image_3_0,image_4_0,image_5_0,image_6_0,image_6_1,image_6_2,image_6_3,image_7_0,image_10_0,image_10_1,image_10_2,image_14_0,image_14_1,image_14_2
image_1_0,4,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
image_1_1,0,4,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0
image_1_2,0,0,4,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0
image_2_0,0,0,1,4,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0
image_2_1,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
image_2_2,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
image_2_3,1,0,1,0,0,0,4,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
image_2_4,0,1,0,0,0,0,0,4,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0
image_2_5,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,1,0,0,1,0
image_3_0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,4,1,0,1,0,0
image_4_0,1,1,1,1,1,0,1,1,0,1,4,1,2,1,1,1,0,0,1,0,0,0,0
image_5_0,1,1,0,0,0,0,0,0,0,0,1,4,1,1,0,1,0,0,1,0,0,0,0
image_6_0,1,1,1,2,1,1,1,1,1,0,2,1,4,0,0,0,0,0,2,0,0,0,0
image_6_1,1,1,1,1,0,0,1,1,0,0,1,1,0,4,0,0,0,0,2,0,0,0,0
image_6_2,0,0,1,1,1,0,1,2,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0
image_6_3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,4,1,0,1,0,0,0,0
image_7_0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0
image_10_0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
image_10_1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,0,4,0,0,0,0
image_10_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_14_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
image_14_1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_14_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
